Model,R2,Accuracy (%),RMSE,MAE
Random Forest,0.9390492981388555,93.90492981388554,259.16099792668626,107.30210804150751
LightGBM,0.9378655001134959,93.78655001134959,261.665636139596,109.9203975351275
Neural Network (MLP),0.9315325137272247,93.15325137272247,274.6771166025159,116.19324898422724
Support Vector Regressor,0.8575968684956368,85.75968684956368,396.9549597713252,182.47775406959508
Lasso Regression,0.8570481277504958,85.70481277504958,396.89461995900564,224.20183586337993
